Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,696,Research & Development,2,3,Life Sciences,0,1263,2,Female,85,1,4,Research Director,6,Divorced,16124,3424,3,Y,No,13,1,0,80,3,7,3,0,9,6,0,8
19,Yes,Non-Travel,504,Research & Development,10,3,Medical,1,1248,1,Female,96,2,1,Research Scientist,2,Single,1859,6148,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0
37,Yes,Travel_Rarely,623,Research & Development,14,6,Other,0,1011,1,Male,40,1,3,Laboratory Technician,4,Divorced,3741,10075,3,Y,Yes,22,3,2,80,1,4,2,2,2,4,1,3
41,No,Travel_Rarely,120,Sales,13,6,Marketing,0,1973,1,Male,78,3,3,Sales Executive,1,Single,13341,25100,0,Y,No,13,1,2,81,1,20,1,4,22,7,9,11
25,No,Travel_Rarely,1168,Research & Development,6,3,Life Sciences,2,1259,2,Male,74,1,2,Research Scientist,4,Divorced,2515,3207,0,Y,No,13,1,1,79,2,7,1,3,5,3,2,2
20,Yes,Travel_Frequently,543,Sales,4,1,Medical,1,1626,1,Female,69,5,2,Sales Representative,3,Single,1569,18419,0,Y,Yes,11,4,2,80,0,0,0,2,2,1,1,1
32,No,Travel_Rarely,1303,Research & Development,1,6,Life Sciences,0,577,2,Male,61,0,3,Research Scientist,3,Divorced,2766,8415,2,Y,No,14,5,1,82,1,16,3,2,8,3,5,6
23,No,Travel_Rarely,951,Research & Development,0,1,Technical Degree,1,1415,3,Male,83,2,3,Laboratory Technician,6,Married,3230,4908,2,Y,No,10,1,3,82,0,6,1,4,5,4,1,4
39,No,Travel_Rarely,894,Sales,5,5,Life Sciences,0,298,4,Female,74,3,3,Manager,5,Single,13592,14676,4,Y,Yes,19,5,3,82,0,16,2,3,0,0,1,0
41,No,Travel_Rarely,263,Research & Development,4,1,Medical,3,959,6,Male,57,3,2,Laboratory Technician,2,Single,4720,3120,1,Y,Yes,14,2,3,82,2,18,1,3,20,14,2,16
32,Yes,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,331,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Y,Yes,14,3,4,80,0,4,2,1,3,2,1,2
26,No,Travel_Rarely,652,Research & Development,7,3,Other,1,1417,3,Male,100,4,1,Laboratory Technician,1,Single,3578,23577,0,Y,No,12,3,4,80,0,8,2,3,7,7,0,7
32,Yes,Travel_Frequently,829,Research & Development,30,3,Medical,2,1101,0,Female,54,1,0,Research Scientist,1,Single,4509,3127,0,Y,No,20,5,2,78,0,13,3,3,12,8,1,8
27,No,Travel_Rarely,1474,Research & Development,17,2,Medical,2,411,3,Male,68,2,1,Healthcare Representative,1,Single,5661,4822,1,Y,No,20,5,2,81,2,7,0,5,9,3,0,5
19,Yes,Non-Travel,502,Research & Development,9,5,Medical,3,1248,2,Female,98,0,2,Research Scientist,1,Single,1858,6150,0,Y,Yes,27,2,2,81,0,0,0,3,3,0,1,1
62,No,Travel_Rarely,1178,Sales,16,5,Marketing,3,732,0,Male,85,5,0,Sales Executive,0,Single,5407,11922,8,Y,No,13,5,2,79,2,11,3,5,3,2,4,4
42,No,Travel_Frequently,1199,Research & Development,22,3,Life Sciences,2,1392,2,Female,74,1,3,Research Scientist,4,Divorced,5469,13955,1,Y,Yes,15,2,0,81,2,11,6,3,7,3,4,3
47,No,Travel_Rarely,1354,Research & Development,5,4,Life Sciences,0,1022,5,Male,76,3,5,Healthcare Representative,2,Single,11000,22247,7,Y,No,13,4,1,79,0,26,5,2,13,13,5,6
37,No,Travel_Rarely,724,Sales,0,5,Marketing,0,1834,2,Female,75,0,0,Sales Representative,5,Married,5403,4243,3,Y,Yes,20,3,3,78,4,19,5,2,4,3,2,3
46,No,Travel_Rarely,170,Research & Development,1,3,Life Sciences,2,1905,1,Male,76,3,1,Healthcare Representative,0,Married,5034,9364,3,Y,No,13,2,4,79,0,10,5,2,0,0,1,4
41,No,Travel_Frequently,424,Research & Development,1,2,Life Sciences,2,902,4,Female,32,1,4,Healthcare Representative,4,Married,5564,21780,4,Y,No,12,3,0,78,0,14,4,1,6,1,4,3
48,No,Travel_Frequently,335,Research & Development,21,7,Medical,1,1539,5,Male,86,0,3,Research Director,5,Single,14413,24450,2,Y,Yes,13,3,6,82,2,31,2,1,34,4,15,11
44,No,Travel_Rarely,415,Sales,25,2,Medical,3,1075,3,Male,80,4,2,Sales Executive,3,Divorced,10798,5266,7,Y,No,15,1,1,80,3,16,7,1,1,0,1,1
48,Yes,Travel_Frequently,1094,Sales,7,3,Life Sciences,0,1718,3,Male,80,1,6,Sales Executive,4,Married,12937,24166,6,Y,No,10,1,5,81,1,23,1,0,22,5,14,8
33,No,Travel_Frequently,144,Research & Development,4,5,Medical,0,1706,1,Male,77,1,1,Research Scientist,3,Single,4929,13971,0,Y,Yes,15,5,2,80,2,8,1,5,7,5,0,3
38,No,Non-Travel,892,Research & Development,3,2,Medical,1,1663,4,Female,31,3,3,Manufacturing Director,5,Married,4375,15413,0,Y,No,17,3,2,78,2,6,5,5,4,3,0,2
30,Yes,Travel_Rarely,358,Human Resources,19,7,Human Resources,0,1843,2,Male,90,3,1,Human Resources,0,Married,2958,21494,0,Y,No,16,2,3,78,0,3,2,2,0,0,1,0
24,No,Travel_Rarely,1356,Sales,11,2,Life Sciences,1,1239,3,Male,58,5,4,Sales Executive,3,Single,4951,20621,0,Y,No,12,3,2,80,0,7,6,2,4,4,2,1
33,No,Travel_Rarely,534,Sales,11,4,Marketing,2,1270,4,Male,81,3,4,Sales Executive,4,Divorced,8379,21708,0,Y,Yes,14,5,5,78,2,11,3,4,8,10,0,8
38,No,Travel_Rarely,1424,Research & Development,16,0,Life Sciences,2,922,4,Male,69,3,1,Healthcare Representative,4,Married,6586,4822,1,Y,Yes,19,2,1,82,1,18,2,3,16,7,4,10
41,No,Travel_Rarely,1206,Sales,23,2,Life Sciences,1,1678,4,Male,80,3,3,Sales Executive,3,Single,7082,11591,3,Y,Yes,16,3,4,80,0,21,2,3,2,0,0,2
22,No,Non-Travel,830,Sales,11,0,Life Sciences,1,1494,5,Female,78,2,0,Sales Representative,2,Married,2034,7104,0,Y,No,12,2,3,82,0,1,3,4,3,0,0,0
44,No,Travel_Rarely,1212,Research & Development,1,1,Medical,3,1542,5,Male,67,0,0,Laboratory Technician,3,Married,4842,24052,5,Y,No,16,5,4,80,1,5,1,3,3,0,0,1
49,No,Travel_Rarely,464,Research & Development,17,5,Medical,0,1673,2,Female,73,1,3,Laboratory Technician,0,Divorced,2587,24943,2,Y,Yes,16,4,0,82,0,18,2,0,3,1,1,0
45,No,Travel_Rarely,954,Sales,2,2,Technical Degree,1,783,2,Male,46,1,2,Sales Representative,3,Single,6632,12388,0,Y,No,13,3,1,80,0,9,3,3,8,7,3,1
35,No,Travel_Rarely,1318,Research & Development,6,4,Medical,0,474,1,Male,52,2,2,Research Scientist,2,Divorced,5976,17001,2,Y,Yes,15,2,3,82,4,14,3,5,9,9,4,5
53,No,Travel_Rarely,1069,Research & Development,3,5,Medical,0,385,1,Male,46,2,5,Research Director,5,Married,17582,21015,4,Y,Yes,15,4,3,82,5,19,7,1,3,2,1,3
37,No,Travel_Rarely,1461,Sales,4,5,Medical,3,1587,4,Male,40,4,3,Sales Executive,2,Married,8235,4656,3,Y,No,13,1,0,81,0,9,5,5,5,5,6,6
36,No,Travel_Rarely,1371,Research & Development,26,4,Life Sciences,1,1727,3,Male,51,5,0,Manufacturing Director,2,Married,6885,5153,3,Y,No,15,1,4,81,2,18,5,3,7,7,0,5
32,No,Non-Travel,1282,Sales,3,1,Marketing,1,1758,6,Female,64,3,3,Sales Executive,0,Single,5145,10696,9,Y,No,15,1,2,79,0,14,2,4,10,8,2,9
38,No,Travel_Frequently,1391,Research & Development,10,1,Medical,1,1006,3,Male,66,3,1,Research Scientist,3,Married,2684,12127,0,Y,No,17,3,2,80,1,3,0,2,2,1,0,2
56,No,Travel_Frequently,1218,Research & Development,17,5,Life Sciences,1,1839,2,Male,87,3,3,Research Director,1,Married,15786,21625,2,Y,Yes,12,4,2,81,1,21,5,3,3,2,4,0
51,No,Non-Travel,1000,Research & Development,19,5,Life Sciences,3,277,5,Male,90,2,1,Manufacturing Director,5,Divorced,6805,23794,0,Y,Yes,17,5,1,78,0,9,0,1,6,6,0,6
32,Yes,Travel_Frequently,306,Research & Development,28,0,Medical,2,356,2,Male,73,1,2,Laboratory Technician,0,Single,3477,11654,1,Y,No,9,2,1,78,0,8,3,6,7,4,0,4
46,No,Travel_Rarely,953,Sales,0,2,Technical Degree,1,784,3,Male,45,0,4,Sales Representative,3,Single,6632,12389,1,Y,No,13,5,0,80,0,9,1,2,9,6,2,0
27,No,Travel_Frequently,575,Research & Development,19,1,Medical,1,1851,5,Male,41,1,3,Laboratory Technician,2,Married,3810,7004,0,Y,No,13,2,2,79,0,11,2,5,9,9,5,8
33,No,Travel_Frequently,146,Research & Development,4,3,Medical,1,1704,3,Male,80,3,0,Research Scientist,5,Single,4932,13971,0,Y,Yes,15,5,2,80,2,7,2,5,3,5,3,2
42,No,Travel_Rarely,900,Human Resources,8,0,Medical,3,1549,1,Male,40,1,3,Manager,4,Single,16439,17379,0,Y,Yes,23,6,6,82,0,21,2,2,21,6,6,9
40,No,Travel_Frequently,1186,Research & Development,5,4,Other,0,1058,1,Male,44,3,2,Research Scientist,2,Married,2822,2995,4,Y,No,16,3,1,78,2,8,3,5,0,2,0,4
30,No,Travel_Rarely,826,Research & Development,7,2,Life Sciences,0,1553,4,Female,68,2,1,Research Scientist,1,Married,5879,15622,1,Y,No,11,1,2,78,0,14,1,3,8,3,0,4
32,No,Travel_Frequently,430,Research & Development,24,4,Life Sciences,1,772,1,Male,80,3,2,Laboratory Technician,4,Married,5309,21146,1,Y,No,15,3,4,80,2,10,2,3,10,8,4,7
41,No,Travel_Rarely,897,Human Resources,5,3,Medical,0,1551,4,Male,36,5,3,Manager,5,Single,16439,17379,1,Y,Yes,23,5,3,81,0,22,4,2,20,8,9,5
38,No,Travel_Rarely,188,Research & Development,8,3,Other,2,950,0,Male,65,2,2,Research Scientist,6,Single,4677,23294,0,Y,No,16,3,3,79,0,9,4,2,6,3,2,2
52,Yes,Travel_Rarely,869,Sales,5,0,Marketing,1,47,0,Male,85,3,0,Sales Representative,2,Married,2681,3811,0,Y,Yes,14,2,2,79,2,5,1,2,1,4,0,2
53,No,Travel_Rarely,582,Research & Development,20,6,Medical,2,1665,1,Female,89,1,5,Manager,1,Married,17427,18683,5,Y,No,26,6,5,80,0,35,5,3,12,6,6,6
35,No,Travel_Rarely,660,Sales,9,2,Life Sciences,1,1493,5,Male,76,1,3,Sales Representative,5,Married,2403,16193,0,Y,No,14,4,0,78,1,2,5,2,2,0,2,0
51,Yes,Travel_Rarely,867,Sales,5,3,Marketing,1,49,0,Male,85,4,3,Sales Representative,3,Married,2683,3810,3,Y,Yes,15,4,2,78,0,5,1,2,3,4,1,3
42,No,Travel_Rarely,917,Research & Development,16,0,Life Sciences,3,347,2,Female,83,5,3,Research Scientist,0,Single,6545,23015,3,Y,Yes,13,1,5,82,2,9,0,4,5,1,1,1
43,No,Travel_Rarely,1206,Sales,21,0,Life Sciences,2,1680,3,Male,79,4,2,Sales Executive,2,Single,7083,11589,4,Y,Yes,18,5,3,80,2,20,3,3,1,0,0,1
20,No,Travel_Rarely,725,Sales,7,3,Life Sciences,2,1680,5,Male,53,1,0,Sales Representative,1,Single,2728,21084,0,Y,No,10,5,0,79,0,3,2,4,2,1,1,2
52,No,Travel_Rarely,1071,Research & Development,5,5,Medical,0,388,4,Male,47,4,6,Research Director,4,Married,17585,21017,1,Y,Yes,14,3,2,78,4,22,5,1,3,2,3,2
25,No,Travel_Rarely,949,Research & Development,1,3,Technical Degree,1,1415,1,Male,81,3,1,Laboratory Technician,4,Married,3229,4910,4,Y,No,11,3,2,80,1,7,2,2,3,2,0,2
42,No,Travel_Frequently,1019,Sales,1,2,Marketing,0,1351,4,Female,68,2,2,Sales Executive,0,Divorced,4105,4296,1,Y,No,17,2,5,79,0,9,2,3,8,5,1,7
48,No,Travel_Rarely,817,Sales,2,1,Marketing,1,712,2,Male,56,4,2,Sales Executive,2,Married,8120,18597,3,Y,No,12,3,4,80,0,12,3,3,2,2,2,2
28,Yes,Travel_Rarely,408,Research & Development,23,5,Technical Degree,3,563,5,Female,70,4,2,Research Scientist,4,Married,2548,18298,3,Y,No,16,1,3,81,2,5,4,6,2,2,2,0
34,No,Non-Travel,1382,Sales,4,4,Marketing,1,522,5,Female,72,3,0,Sales Executive,1,Married,6536,12738,8,Y,No,15,2,3,79,3,7,2,2,4,2,1,4
37,No,Travel_Rarely,146,Research & Development,23,5,Life Sciences,2,577,2,Male,48,2,0,Laboratory Technician,1,Single,4232,19226,0,Y,No,14,3,1,80,0,5,1,3,5,4,3,5
29,No,Travel_Rarely,1394,Sales,10,2,Life Sciences,3,748,1,Male,101,1,0,Sales Representative,2,Single,2644,2754,1,Y,No,11,5,1,79,1,3,5,3,0,0,0,0
28,No,Non-Travel,1495,Research & Development,2,0,Technical Degree,1,209,5,Male,39,3,0,Manufacturing Director,1,Married,4318,26284,1,Y,No,14,5,1,82,2,12,0,1,9,8,1,7
34,No,Travel_Rarely,1350,Research & Development,5,2,Life Sciences,2,1603,3,Male,64,3,1,Laboratory Technician,4,Married,2690,7712,0,Y,No,20,3,4,80,0,0,3,0,1,0,0,0
48,No,Travel_Rarely,805,Research & Development,7,3,Life Sciences,2,1029,0,Male,63,5,1,Laboratory Technician,3,Married,2379,20167,2,Y,No,18,1,2,78,2,8,6,1,0,0,1,0
37,No,Travel_Rarely,1137,Research & Development,22,0,Life Sciences,0,940,5,Female,49,2,2,Healthcare Representative,2,Married,4015,19169,2,Y,Yes,23,5,3,82,0,12,4,0,11,8,2,8
40,No,Travel_Rarely,623,Research & Development,0,2,Life Sciences,2,658,3,Female,79,4,1,Healthcare Representative,2,Married,4087,5718,1,Y,No,12,3,2,79,3,10,4,4,8,4,2,2
60,Yes,Travel_Rarely,287,Research & Development,0,4,Technical Degree,1,979,5,Male,52,5,3,Research Scientist,5,Single,2481,26225,3,Y,No,25,4,0,81,0,6,3,2,1,0,0,0
30,Yes,Travel_Frequently,305,Research & Development,30,1,Medical,2,357,3,Male,73,3,0,Laboratory Technician,4,Single,3477,11652,0,Y,No,13,4,4,80,0,8,0,6,3,2,1,3
30,No,Non-Travel,111,Research & Development,10,1,Medical,3,239,2,Male,64,3,1,Laboratory Technician,0,Divorced,3072,11013,3,Y,No,10,1,1,80,3,11,5,1,13,8,8,9
46,No,Travel_Rarely,734,Research & Development,2,4,Medical,1,1789,3,Male,46,3,5,Research Director,4,Divorced,19328,14218,7,Y,Yes,17,3,3,80,1,24,3,3,2,1,2,2
44,No,Travel_Rarely,647,Sales,4,4,Marketing,1,1170,4,Male,43,2,0,Sales Executive,1,Single,5154,2255,9,Y,No,15,3,4,82,0,10,3,6,8,5,2,4
32,No,Non-Travel,1145,Research & Development,15,4,Medical,3,1955,5,Female,34,1,2,Healthcare Representative,5,Divorced,6667,16540,5,Y,No,16,1,4,82,0,10,4,4,7,0,1,0
31,Yes,Travel_Frequently,668,Sales,1,2,Life Sciences,0,1426,1,Female,49,2,0,Sales Representative,4,Single,1359,16156,2,Y,No,14,2,0,78,0,2,2,3,1,0,2,1
26,No,Travel_Rarely,705,Sales,27,1,Marketing,2,643,2,Male,65,3,2,Sales Executive,2,Married,6272,7427,0,Y,No,21,5,5,79,3,4,3,3,6,2,3,2
26,No,Travel_Rarely,1478,Sales,3,3,Medical,0,1445,2,Female,44,5,0,Sales Executive,1,Married,4162,15210,2,Y,Yes,14,3,4,82,3,4,5,2,3,2,0,5
56,No,Travel_Rarely,158,Research & Development,10,3,Medical,2,1981,4,Female,76,4,1,Manufacturing Director,1,Single,4441,25200,6,Y,Yes,20,5,6,80,0,9,4,1,4,3,0,6
46,No,Travel_Rarely,1331,Research & Development,2,0,Other,1,1633,5,Female,57,1,1,Manufacturing Director,6,Divorced,5770,5390,0,Y,No,21,1,2,81,1,10,2,4,10,9,2,8
49,No,Travel_Rarely,1465,Research & Development,3,3,Medical,0,1061,1,Male,64,2,3,Research Director,3,Married,19237,12851,2,Y,Yes,9,5,4,82,3,29,0,1,8,3,8,8
27,No,Travel_Frequently,1282,Sales,0,1,Medical,0,956,5,Male,50,0,1,Sales Executive,0,Single,4294,11148,0,Y,No,13,5,3,82,0,9,0,4,8,8,0,9
51,No,Travel_Rarely,1490,Research & Development,2,0,Life Sciences,1,547,3,Female,29,4,4,Manager,3,Married,16557,10309,1,Y,No,14,1,6,80,0,29,2,1,3,1,1,4
36,No,Non-Travel,1382,Sales,5,3,Marketing,0,525,2,Female,72,3,1,Sales Executive,2,Married,6536,12740,8,Y,No,15,2,0,79,0,6,5,5,4,1,2,2
38,No,Travel_Rarely,1134,Research & Development,0,4,Medical,1,418,4,Male,48,5,2,Healthcare Representative,6,Divorced,9614,10942,0,Y,No,19,1,3,81,3,21,7,3,17,10,5,6
43,Yes,Travel_Rarely,1356,Sales,19,0,Marketing,3,247,3,Female,71,1,0,Sales Representative,3,Single,3141,21727,0,Y,Yes,22,2,2,80,1,3,6,4,3,1,0,2
32,No,Travel_Rarely,232,Sales,0,5,Medical,3,2011,4,Male,67,2,3,Sales Representative,4,Married,2270,18024,0,Y,No,16,2,1,82,2,2,3,3,4,2,3,0
